Hospital,Address,City,State,Zip Code,Contact,Phone number,Date signed,Behavioral/Substance?,Medication abortion,Referrals for abortions,Surgical abortion,Birth control,Contraceptive counseling,Hospital pharmacy dispenses contraception,Removal of contraceptive devices,Tubal ligations,Vasectomies,Emergency Contraception w/SA,Emergency Contraception w/out SA,Infertility Counseling,Infertility testing and diagnoses,Infertility treatment including IVF,HIV testing,HIV treatment,PrEP and PEP w/counseling,STD testing/treatment,Treating miscarraiges and ectopic pregnancies,Pregnancy counseling,Pregnancy genetic counseling,Pregnancy Labor and Delivery,Pregnancy NICU,Pregnancy prenatal care,Pregnancy Postnatal Care,Pregnancy Ultrasound,Additional Comments,Lat,Long
Acadia Cascade Behavioral Health,,Burien,WA,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arbor Health, Morton Hospital / Lew County Hospital District No.1","521 Adams Avenue, PO Box 1138",Morton,WA,98356,Specialty Clinic,360-496-3641,9/13/2019,FALSE,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,See comments,Yes,See comments,Yes,No,See comments,No,No,No,No,Yes,46.55552,-122.28005
Astria Regional Medical Center (formerly Yakima Regional Medical & Cardiac Center),110 South 9th Avenue,Yakima,WA,98902,Sara Williamson CNO,509-454-6192,09/24/2019,FALSE,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,45.81488,-122.73829
Astria Sunnyside Hospital and Clinics,1016 Tacoma Ave,Sunnyside,WA,98944,Cynthia Lewis,509-837-1500,10/03/2019,FALSE,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,46.323021,-120.006607
Astria Toppenish Hospital,502 West 4th Ave,Toppenish,WA,98948,Tarra Palomarez,509-865-1520,07/27/2021,FALSE,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,46.37131,-120.31668
BHC Fairfax Hospital,,Kirkland,WA,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHC Fairfax Hospital Monroe,,Monroe,WA,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHC Fairfax Hospital North,,Everett,WA,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascade Medical Center / Chelan County Public Hospital District No. 1,817 Commerical street,Leavenworth,WA,98826,Diane Blake,509-548-5815,08/26/2019,FALSE,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,47.59447,-120.66073
Columbia Basin Hospital,200 Nat Washington Way,Ephrata,WA,98823,Vicki Polhamus,509-717-5211,08/21/2019,FALSE,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,See comments,No,No,No,No,No,No,See comments,Yes,47.31433,-119.54596
Confluence Health Hospital,1201 S. Miller Street,Wenatchee,WA,98801,Kelly Allen,509-663-8711,06/12/2023,FALSE,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,47.4067273,-120.3211376
Coulee Medical Center,411 Fortuyn Road,Grand Coulee,WA,99133,Ramona Hicks,509-633-6333,08/29/2019,FALSE,Yes,Yes,No,No,Yes,See comments,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,47.9421323,-119.0075727
Dayton General Hospital (Columbia County Public Hospital District #1),1012 South 3rd St.,Dayton,WA,99382,Shane McGuire,509-282-2531,08/23/2019,FALSE,No,No,No,No,No,No,No,No,No,See comments,No,No,No,No,No,No,No,Yes,See comments,No,No,See comments,No,No,No,See comments,Yes,46.3120361,-117.9705178
East Adams Rural Hospital,903 S Adams St,Ritzville,WA,99169,Corey Fedie,509-59?-1200,08/22/2019,FALSE,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,See comments,No,See comments,See comments,Yes,Yes,47.1212651,-118.3718322
EvergreenHealth Medical Center,12040 NE 128th Street,Kirkland,WA,98034,Mary Shepler,425-899-3479,11/25/2019,FALSE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,47.7164381,-122.1802051
EvergreenHealth Monroe (formerly Valley General Hospital) (Snohomich County Public Hospital District No. 1),14701 179th Ave SE,Monroe,WA,98272,Sarah Macht,360-794-1403,09/23/2020,FALSE,See comments,See comments,See comments,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,47.718588,-122.169853
Ferry County Memorial Hospital (Ferry County Public Hospital District),36 Klondike Rd,Republic,WA,99166,Aaron Edwards,509-775-3333,08/29/2019,FALSE,See comments,See comments,See comments,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,See comments,See comments,See comments,See comments,See comments,See comments,See comments,Yes,48.6522021,-118.7337345
Forks Community Hospital,530 Bogachiel Way,Forks,WA,98331,Kelly Thompson,360-374-6271 ext. 327,02/13/2024,FALSE,No,Yes,No,Yes,Yes,No,Yes,See comments,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,See comments,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,47.9463652,-124.3932652
Fred Hutchinson Cancer Care (formerly Seattle Cancer Care Alliance) **incorrect form,1959 NE Pacific Street,Seattle,WA,98195,Accreditation and Regulatory Affairs,206-606-6588,04/13/2023,FALSE,No,Yes,No,See comments,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,47.6494115,-122.3076383